key,code,period-start,period-end,mark,link,key:code-audit
audit-record-00,AU-0000-049,2003/06/23 00:00,2003/06/23 04:47,B,,code-audit-00
audit-record-01,AU-0000-000,2022/07/24 07:39,2022/07/24 17:47,A+,,code-audit-00
audit-record-02,AU-9999-999,2021/01/10 13:00,2021/01/10 15:59,C,https://auditrecordexample.com/not-found,code-audit-00
audit-record-03,AU-9999-000,1990/10/03 20:06,1990/10/03 21:15,B,https://auditrecordarchive.io/nonexistent-page,code-audit-00
audit-record-04,AU-0000-999,2022/07/24 00:00,2022/07/24 02:47,F,,code-audit-00
audit-record-05,AU-9900-049,2012/07/24 10:00,2012/07/24 12:37,A,https://auditrecordcentral.org/invalid-link,code-audit-00
audit-record-06,AU-0099-000,2023/09/06 17:12,2023/09/06 20:48,A,,code-audit-00
audit-record-07,AU-4545-999,2022/07/24 00:00,2022/07/26 00:47,F-,https://myauditrecordstore.net/404-error,code-audit-00
audit-record-08,AU-5385-000,2022/07/24 21:00,2022/07/25 00:47,B,,code-audit-00
audit-record-09,AU-0204-999,2022/07/24 08:00,2022/08/24 00:47,A,https://auditrecordtracker.com/dead-link,code-audit-00
audit-record-10,AU-0000-437,2022/07/24 13:00,2022/07/24 15:47,C,,code-audit-00
audit-record-11,AU-2348-000,2022/07/24 14:00,2022/07/26 00:47,C,https://auditrecordvault.net/missing-content,code-audit-00
audit-record-12,AU-9989-999,2022/07/24 16:00,2022/07/24 18:47,B,,code-audit-00
audit-record-13,AU-4827-000,2022/07/24 23:00,2022/07/25 21:47,F-,,code-audit-00
audit-record-14,AU-2839-999,2022/07/24 20:00,2022/07/27 00:47,A+,,code-audit-00
audit-record-15,AU-0329-568,2022/07/24 06:00,2022/07/24 00:30,A,,code-audit-00
audit-record-16,AU-2340-098,2022/07/24 04:00,2022/07/24 08:47,C,,code-audit-00
audit-record-17,AU-2384-898,2022/07/24 09:00,2022/07/24 10:47,B,,code-audit-00
audit-record-18,AU-2483-327,2022/07/24 12:00,2022/07/24 14:47,F-,,code-audit-00
audit-record-19,AU-3284-777,2022/07/24 11:00,2022/07/24 13:47,B,,code-audit-00
