key,code,moment,initial-date,final-date,amount,type,email,link,key:project,key:sponsor,published
sponsorship-00,BAS-123,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"USD 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-00,sponsor-01,true
sponsorship-01,A-123,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"USD 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-00,sponsor-01,true
sponsorship-02,AA-123,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"USD 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-00,sponsor-01,false
sponsorship-03,AAA-123,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"USD 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-00,sponsor-01,false
sponsorship-04,A-000,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-05,A-999,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-06,AA-000,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-07,AA-999,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-08,Z-123,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-09,ZZ-123,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-10,ZZZ-123,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-11,Z-000,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-12,Z-999,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-13,ZZ-000,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-14,ZZ-999,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-15,ZZA-998,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",IN_KIND,ejemplo@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-16,ZZA-997,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,,http://www.ejemplo.com,project-01,sponsor-01,false
sponsorship-17,ZZD-996,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,ejemplo@correo.com,,project-01,sponsor-01,false
sponsorship-18,ZZD-995,2022/07/24 00:00,2022/07/24 01:00,2022/08/25 01:00,"EUR 1,100.00",FINANCIAL,例@correo.com,http://www.ejemplo.com,project-01,sponsor-01,false
