key,code,initial-period,final-period,location,instructor,contact-email,link,key:training-module,published
training-session-01,TS-ABC-012,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación d,Taumatawhakatangihangakoauauotamateaturipukakapiki-maungahoronukupokaiwhasd,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-01,true
training-session-02,TS-AA-013,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,Taumatawhakatangihangakoauauotamateaturipukakapiki-maungahoronukupokaiwhasd,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-02,true
training-session-03,TS-AA-014,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,Taumatawhakatangihangakoauauotamateaturip,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-03,true
training-session-04,TS-AA-015,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,T,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-04,true
training-session-05,TS-AA-016,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,täumata kēmu,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-05,false
training-session-06,TS-AA-017,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,täumata kēmu,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-06,false
training-session-07,TS-AA-018,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,täumata kēmu,ejemplo@acme.com,,training-module-06,false
training-session-08,TS-AA-019,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,Taumatawhakatangihangakoauauotamateaturipukakapiki-maungahoronukupokaiwhasd,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-07,true
training-session-09,TS-AA-020,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,Taumatawhakatangihangakoauauotamateaturip,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-07,true
training-session-10,TS-AA-021,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,T,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-08,true
training-session-11,TS-AA-022,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,täumata kēmu,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-08,false
training-session-12,TS-AA-023,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,täumata kēmu,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-09,false
training-session-13,TS-AA-024,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,täumata kēmu,ejemplo@acme.com,,training-module-09,false
training-session-14,TS-AA-025,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,当社のフルスタック Web 開発トレーニングは 10 週間続き、最短で受講可能です。-maungahoronukupokaiwhasd,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-10,true
training-session-15,TS-AA-026,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,Taumatawhakatangihangakoauauotamateaturip,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-10,true
training-session-16,TS-AA-027,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,T,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-12,true
training-session-17,TS-AA-028,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,täumata kēmu,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-12,false
training-session-18,TS-AA-029,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,täumata kēmu,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-13,false
training-session-19,TS-AA-030,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,täumata kēmu,ejemplo@acme.com,,training-module-13,false
training-session-20,TS-AA-031,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,Taumatawhakatangihangakoauauotamateaturipukakapiki-maungahoronukupokaiwhasd,pepepeppepepepepeppepepepepepepepe@acme.com,http://www.ejemploimagen.com,training-module-14,true
training-session-21,TS-AA-032,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,Taumatawhakatangihangakoauauotamateaturip,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-14,true
training-session-22,TS-AA-033,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,T,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-14,true
training-session-23,TS-AA-034,2022/08/10 00:00,2022/08/19 00:00,El entrenamiento se llevará a cabo en nuestro moderno centro de formación,täumata kēmu,ejemplo@acme.com,http://www.ejemploimagen.com,training-module-14,false
